date,hour,LA_Qin,LA_Level,LA_Inlet,LA_F_1500,LA_F_1200,LA_P_1500,LA_P_1200,TotalFlow
2026-03-05,3,5469.0,4.82,19.79,5458.0,2025.0,6.44,5.3,7483.0
2026-03-05,4,7961.0,5.19,20.69,7297.0,2909.0,9.2,8.25,10206.0
2026-03-05,5,10982.0,4.97,19.74,10839.0,4221.0,15.46,14.68,15059.0
2026-03-05,6,14073.0,4.64,17.72,12664.0,4935.0,18.72,18.06,17599.0
2026-03-05,7,14396.0,4.34,16.86,13283.0,5193.0,18.87,18.25,18476.0
2026-03-05,8,14333.0,4.0,16.69,13414.0,5311.0,19.01,18.39,18725.0
2026-03-05,9,14300.0,3.67,16.66,12797.0,5097.0,17.97,17.32,17894.0
2026-03-05,10,14367.0,3.5,16.68,10745.0,4301.0,14.36,13.59,15046.0
2026-03-05,11,553.0,3.58,18.2,9573.0,3596.0,11.9,10.82,13169.0
2026-03-05,12,192.0,3.61,18.51,9566.0,3580.0,11.81,10.75,13147.0
2026-03-05,13,187.0,3.64,18.61,9678.0,3609.0,11.7,10.66,13286.0
2026-03-05,14,212.0,3.67,18.59,9744.0,3665.0,11.7,10.66,13410.0
2026-03-05,15,191.0,3.7,18.46,9755.0,3684.0,11.75,10.71,13439.0
2026-03-05,16,174.0,3.72,18.0,10132.0,3796.0,12.11,11.09,13928.0
2026-03-05,17,13850.0,3.64,17.11,12001.0,4811.0,15.76,15.13,16812.0
2026-03-05,18,14784.0,3.35,16.61,13378.0,5313.0,18.96,18.41,18691.0
2026-03-05,19,14630.0,3.06,16.75,13203.0,5243.0,19.0,18.43,18445.0
2026-03-05,20,14110.0,2.74,17.5,13206.0,5165.0,18.99,18.41,18371.0
2026-03-05,21,14074.0,2.45,17.39,12160.0,4779.0,16.97,16.33,16940.0
2026-03-05,22,8254.0,2.35,17.68,10624.0,4038.0,13.12,12.23,14662.0
2026-03-05,23,2511.0,2.45,18.44,7938.0,2941.0,8.9,7.8,10879.0
2026-03-06,0,4723.0,2.8,18.28,6042.0,2250.0,6.2,5.07,8292.0
2026-03-06,1,4896.0,3.23,18.91,6026.0,2293.0,6.59,5.45,8319.0
2026-03-06,2,5235.0,3.69,18.88,5724.0,2136.0,6.66,5.52,7860.0
2026-03-06,3,5254.0,4.17,18.99,5522.0,2053.0,6.6,5.45,7575.0
2026-03-06,4,4894.0,4.65,18.55,7490.0,2754.0,9.24,8.09,10244.0
2026-03-06,5,14423.0,4.88,17.08,10594.0,4105.0,15.22,14.4,14699.0
2026-03-06,6,15324.0,4.8,17.13,12677.0,4878.0,18.73,18.02,17555.0
2026-03-06,7,14956.0,4.58,16.43,13246.0,5138.0,18.96,18.31,18384.0
2026-03-06,8,15447.0,4.32,15.71,13444.0,5316.0,19.03,18.39,18759.0
2026-03-06,9,15504.0,4.1,15.45,12824.0,5039.0,17.96,17.29,17864.0
2026-03-06,10,14409.0,4.0,16.2,11156.0,4422.0,14.3,13.54,15578.0
2026-03-06,11,189.0,4.04,17.16,10050.0,3723.0,11.69,10.62,13774.0
2026-03-06,12,184.0,4.07,17.2,10305.0,3814.0,11.84,10.78,14119.0
2026-03-06,13,177.0,4.1,17.43,10388.0,3874.0,12.01,10.95,14262.0
2026-03-06,14,201.0,4.13,17.52,10348.0,3873.0,12.06,11.01,14221.0
2026-03-06,15,184.0,4.16,17.59,10324.0,3858.0,12.04,11.01,14182.0
2026-03-06,16,308.0,4.18,17.6,10488.0,3928.0,12.18,11.15,14415.0
2026-03-06,17,13686.0,4.06,17.98,12130.0,4843.0,15.87,15.21,16972.0
2026-03-06,18,13794.0,3.68,17.79,13429.0,5322.0,19.02,18.45,18750.0
2026-03-06,19,13677.0,3.29,17.53,13216.0,5173.0,19.04,18.44,18390.0
2026-03-06,20,13725.0,2.92,17.57,13058.0,5078.0,18.93,18.32,18136.0
2026-03-06,21,14198.0,2.62,17.12,11916.0,4657.0,16.68,15.98,16573.0
2026-03-06,22,13764.0,2.57,17.52,10161.0,4017.0,12.77,11.96,14178.0
2026-03-06,23,3244.0,2.74,19.21,7513.0,2794.0,8.37,7.28,10307.0
2026-03-07,0,4228.0,3.03,19.24,5817.0,2128.0,5.72,4.58,7945.0
2026-03-07,1,4801.0,3.46,18.29,5551.0,2057.0,5.74,4.6,7608.0
2026-03-07,2,4887.0,3.9,18.72,5528.0,2079.0,6.18,5.02,7607.0
2026-03-07,3,4923.0,4.35,18.97,5523.0,2062.0,6.45,5.29,7585.0
2026-03-07,4,4858.0,4.79,18.66,5722.0,2122.0,6.62,5.46,7843.0
2026-03-07,5,6055.0,5.16,16.9,8041.0,2995.0,10.75,9.65,11036.0
2026-03-07,6,14357.0,5.25,18.37,11385.0,4396.0,16.56,15.77,15782.0
2026-03-07,7,15616.0,5.07,17.34,13086.0,5079.0,18.79,18.13,18165.0
2026-03-07,8,16127.0,4.88,16.25,13454.0,5237.0,18.93,18.3,18691.0
2026-03-07,9,16017.0,4.67,15.99,13624.0,5334.0,19.07,18.47,18958.0
2026-03-07,10,15185.0,4.43,16.85,13348.0,5231.0,18.28,17.69,18579.0
2026-03-07,11,14787.0,4.23,17.65,12174.0,4763.0,15.89,15.25,16937.0
2026-03-07,12,13959.0,4.12,18.45,10968.0,4385.0,13.37,12.72,15352.0
2026-03-07,13,842.0,4.15,18.26,10517.0,3906.0,12.5,11.47,14423.0
2026-03-07,14,168.0,4.18,18.4,10507.0,3896.0,12.58,11.55,14403.0
2026-03-07,15,177.0,4.21,18.67,10416.0,3828.0,12.58,11.55,14243.0
2026-03-07,16,182.0,4.24,18.57,10642.0,3937.0,12.86,11.84,14579.0
2026-03-07,17,14576.0,4.19,17.71,12075.0,4768.0,16.06,15.41,16843.0
2026-03-07,18,15313.0,3.96,17.6,13424.0,5294.0,19.12,18.56,18718.0
2026-03-07,19,15384.0,3.73,17.72,13058.0,5089.0,18.93,18.35,18147.0
2026-03-07,20,14925.0,3.54,18.14,12741.0,4966.0,17.97,17.36,17707.0
2026-03-07,21,14367.0,3.3,17.13,12834.0,4989.0,17.32,16.72,17823.0
2026-03-07,22,14649.0,3.11,17.37,12035.0,4623.0,15.32,14.64,16658.0
2026-03-07,23,3046.0,3.1,18.94,10220.0,3742.0,11.64,10.64,13962.0
2026-03-08,0,3880.0,3.28,18.5,7339.0,2693.0,7.32,6.21,10032.0
2026-03-08,1,3908.0,3.63,18.51,7279.0,2668.0,7.49,6.37,9947.0
2026-03-08,2,3812.0,3.98,19.32,6909.0,2553.0,7.5,6.38,9462.0
2026-03-08,3,4013.0,4.32,21.06,6255.0,2314.0,7.31,6.19,8568.0
2026-03-08,4,4102.0,4.69,21.94,6242.0,2325.0,7.49,6.35,8568.0
2026-03-08,5,3601.0,5.05,19.83,7924.0,2893.0,10.96,9.83,10817.0
2026-03-08,6,13112.0,5.16,19.67,11332.0,4343.0,16.67,15.91,15674.0
2026-03-08,7,14198.0,4.95,18.6,12709.0,4904.0,18.68,18.02,17613.0
2026-03-08,8,14113.0,4.65,18.42,13160.0,5094.0,18.85,18.23,18254.0
2026-03-08,9,14073.0,4.3,18.31,13387.0,5220.0,18.93,18.33,18607.0
2026-03-08,10,13977.0,3.93,18.17,13189.0,5115.0,18.0,17.4,18305.0
2026-03-08,11,15142.0,3.69,17.31,12001.0,4720.0,15.69,15.01,16721.0
2026-03-08,12,15377.0,3.69,17.65,10719.0,4298.0,12.98,12.26,15017.0
2026-03-08,13,797.0,3.8,18.56,10634.0,3932.0,12.64,11.61,14566.0
2026-03-08,14,182.0,3.83,18.81,10576.0,3886.0,12.66,11.63,14462.0
2026-03-08,15,205.0,3.86,18.91,10449.0,3833.0,12.48,11.47,14282.0
2026-03-08,16,205.0,3.89,18.72,10480.0,3840.0,12.64,11.63,14321.0
2026-03-08,17,13187.0,3.82,18.46,11963.0,4676.0,15.94,15.24,16639.0
2026-03-08,18,14319.0,3.52,18.47,13370.0,5190.0,19.04,18.48,18559.0
2026-03-08,19,14383.0,3.2,18.7,13123.0,5093.0,18.95,18.35,18216.0
2026-03-08,20,14368.0,2.92,18.6,12703.0,4939.0,18.09,17.46,17642.0
2026-03-08,21,13710.0,2.7,18.96,11797.0,4632.0,16.4,15.68,16429.0
2026-03-08,22,13347.0,2.56,19.16,10530.0,4129.0,13.54,12.76,14659.0
2026-03-08,23,3241.0,2.68,18.59,8651.0,3188.0,10.07,8.98,11840.0
2026-03-09,0,5468.0,3.05,18.14,5712.0,2069.0,5.92,4.79,7781.0
2026-03-09,1,6003.0,3.59,18.31,5428.0,2027.0,5.94,4.79,7454.0
2026-03-09,2,6086.0,4.15,18.76,5420.0,2026.0,6.39,5.24,7446.0
2026-03-09,3,6117.0,4.71,18.78,5419.0,2005.0,6.54,5.4,7423.0
2026-03-09,4,8983.0,5.14,18.88,7501.0,2887.0,9.47,8.48,10388.0
2026-03-09,5,13471.0,5.18,17.82,10789.0,4144.0,15.54,14.76,14933.0
2026-03-09,6,13877.0,4.95,18.04,12734.0,4964.0,18.76,18.08,17698.0
2026-03-09,7,13610.0,4.6,17.58,13211.0,5181.0,18.9,18.24,18392.0
2026-03-09,8,13560.0,4.2,17.35,13396.0,5286.0,19.01,18.37,18682.0
2026-03-09,9,13625.0,3.8,17.27,12888.0,5110.0,17.95,17.28,17998.0
2026-03-09,10,14540.0,3.58,16.55,11089.0,4410.0,14.26,13.52,15500.0
2026-03-09,11,548.0,3.64,17.91,9856.0,3690.0,11.8,10.72,13546.0
2026-03-09,12,162.0,3.67,17.83,10046.0,3740.0,11.72,10.67,13786.0
2026-03-09,13,179.0,3.7,17.94,10090.0,3760.0,11.77,10.72,13850.0
2026-03-09,14,176.0,3.73,18.05,10075.0,3763.0,11.89,10.85,13838.0
2026-03-09,15,186.0,3.75,18.07,10114.0,3762.0,11.88,10.85,13875.0
2026-03-09,16,176.0,3.78,17.47,10297.0,3837.0,12.12,11.11,14133.0
2026-03-09,17,13189.0,3.7,16.71,11987.0,4785.0,15.63,14.99,16773.0
2026-03-09,18,14694.0,3.39,16.44,13566.0,5376.0,19.11,18.58,18941.0
2026-03-09,19,14728.0,3.07,16.51,13343.0,5300.0,19.11,18.54,18643.0
2026-03-09,20,14696.0,2.77,16.5,13256.0,5229.0,19.02,18.45,18485.0
2026-03-09,21,14545.0,2.52,16.23,12219.0,4803.0,17.06,16.43,17022.0
2026-03-09,22,14251.0,2.44,17.19,10662.0,4184.0,13.67,12.96,14846.0
2026-03-09,23,5058.0,2.67,18.12,7410.0,2755.0,8.41,7.34,10165.0
2026-03-10,0,5126.0,3.08,19.41,5524.0,2022.0,5.73,4.61,7546.0
2026-03-10,1,5182.0,3.55,19.5,5373.0,2023.0,5.84,4.71,7395.0
2026-03-10,2,5269.0,4.03,19.86,5353.0,2034.0,6.27,5.12,7388.0
2026-03-10,3,5185.0,4.51,19.32,5202.0,1979.0,6.35,5.19,7181.0
2026-03-10,4,4037.0,4.96,17.81,7497.0,2784.0,9.39,8.25,10281.0
2026-03-10,5,13491.0,5.08,16.27,10753.0,4196.0,15.41,14.63,14949.0
2026-03-10,6,15004.0,4.94,16.92,12759.0,4968.0,18.78,18.11,17727.0
2026-03-10,7,14707.0,4.7,16.28,13125.0,5137.0,18.99,18.35,18262.0
2026-03-10,8,14409.0,4.4,16.19,13210.0,5203.0,19.02,18.38,18413.0
2026-03-10,9,14374.0,4.11,15.95,12655.0,5027.0,17.99,17.32,17682.0
2026-03-10,10,13927.0,3.93,16.27,11187.0,4425.0,14.54,13.77,15612.0
2026-03-10,11,297.0,3.96,16.94,9782.0,3655.0,11.62,10.54,13437.0
2026-03-10,12,184.0,3.99,17.17,10113.0,3768.0,11.84,10.76,13881.0
2026-03-10,13,196.0,4.02,17.26,10160.0,3797.0,11.93,10.87,13958.0
2026-03-10,14,188.0,4.05,17.46,10185.0,3824.0,12.09,11.03,14009.0
2026-03-10,15,204.0,4.08,18.08,10236.0,3836.0,12.14,11.09,14072.0
2026-03-10,16,318.0,4.11,17.8,10287.0,3848.0,12.23,11.18,14135.0
2026-03-10,17,13883.0,4.02,17.63,11862.0,4766.0,15.85,15.15,16629.0
2026-03-10,18,14221.0,3.69,17.17,13273.0,5277.0,19.08,18.48,18550.0
2026-03-10,19,14564.0,3.37,16.26,13087.0,5170.0,19.05,18.44,18257.0
2026-03-10,20,14544.0,3.08,16.2,13112.0,5126.0,19.01,18.4,18238.0
2026-03-10,21,13682.0,2.83,16.84,11892.0,4672.0,16.66,15.95,16564.0
2026-03-10,22,12126.0,2.66,17.08,10217.0,4032.0,12.77,11.96,14249.0
2026-03-10,23,2767.0,2.72,17.09,7480.0,2771.0,8.37,7.26,10251.0
2026-03-11,0,4675.0,3.04,17.51,5332.0,1941.0,5.42,4.29,7272.0
2026-03-11,1,5161.0,3.49,17.66,5315.0,1994.0,5.74,4.6,7309.0
2026-03-11,2,5334.0,3.97,18.6,5394.0,2052.0,6.26,5.12,7446.0
2026-03-11,3,5451.0,4.46,19.32,5505.0,2075.0,6.6,5.45,7579.0
2026-03-11,4,5322.0,4.96,18.36,7609.0,2794.0,9.47,8.33,10403.0
2026-03-11,5,13964.0,5.18,18.55,10821.0,4189.0,15.64,14.83,15010.0
2026-03-11,6,14305.0,5.0,18.78,12680.0,4927.0,18.87,18.19,17607.0
2026-03-11,7,13881.0,4.69,17.75,13124.0,5170.0,19.0,18.35,18294.0
2026-03-11,8,13735.0,4.31,17.48,13200.0,5247.0,19.05,18.41,18447.0
2026-03-11,9,13647.0,3.95,17.3,12663.0,5007.0,18.19,17.52,17671.0
2026-03-11,10,13628.0,3.71,17.39,11228.0,4462.0,14.8,14.04,15690.0
2026-03-11,11,317.0,3.72,17.91,9833.0,3655.0,11.68,10.6,13488.0
2026-03-11,12,200.0,3.75,18.56,10172.0,3812.0,11.94,10.88,13985.0
2026-03-11,13,202.0,3.77,18.65,10209.0,3808.0,12.0,10.94,14017.0
2026-03-11,14,188.0,3.8,18.81,10203.0,3846.0,12.08,11.02,14049.0
2026-03-11,15,191.0,3.83,19.28,10108.0,3805.0,11.93,10.87,13913.0
2026-03-11,16,605.0,3.86,18.32,10315.0,3881.0,12.13,11.08,14195.0
2026-03-11,17,13207.0,3.74,18.87,11849.0,4785.0,15.92,15.23,16634.0
2026-03-11,18,13944.0,3.38,17.68,13155.0,5249.0,19.12,18.54,18403.0
2026-03-11,19,14305.0,3.05,17.58,12998.0,5138.0,19.04,18.45,18135.0
2026-03-11,20,14604.0,2.76,17.67,13042.0,5115.0,18.99,18.39,18158.0
2026-03-11,21,14595.0,2.55,17.42,11831.0,4632.0,16.68,15.99,16463.0
2026-03-11,22,8221.0,2.53,18.03,10477.0,3985.0,13.24,12.33,14462.0
2026-03-11,23,2251.0,2.67,20.88,7902.0,2945.0,9.13,8.02,10846.0
2026-03-12,0,4532.0,2.98,19.18,6100.0,2290.0,6.45,5.32,8390.0
2026-03-12,1,4591.0,3.39,19.37,5993.0,2242.0,6.67,5.53,8235.0
2026-03-12,2,4724.0,3.81,19.89,5680.0,2107.0,6.74,5.6,7787.0
2026-03-12,3,4854.0,4.25,20.37,5649.0,2126.0,6.89,5.74,7775.0
2026-03-12,4,7281.0,4.68,19.33,7480.0,2864.0,9.42,8.38,10344.0
2026-03-12,5,13962.0,4.81,19.44,10764.0,4152.0,15.71,14.92,14916.0
2026-03-12,6,14288.0,4.66,19.15,12439.0,4845.0,18.74,18.02,17284.0
2026-03-12,7,13900.0,4.39,18.3,12743.0,4953.0,18.96,18.24,17696.0
2026-03-12,8,14738.0,4.09,17.19,12902.0,5074.0,19.08,18.36,17976.0
2026-03-12,9,14836.0,3.88,16.82,12389.0,4938.0,18.2,17.47,17326.0
2026-03-12,10,14582.0,3.76,16.9,11041.0,4405.0,14.76,14.02,15446.0
2026-03-12,11,1028.0,3.84,18.15,9811.0,3639.0,11.94,10.85,13451.0
2026-03-12,12,176.0,3.87,18.82,9980.0,3713.0,11.85,10.75,13694.0
2026-03-12,13,183.0,3.9,18.92,10037.0,3766.0,11.88,10.78,13803.0
2026-03-12,14,174.0,3.93,19.23,9888.0,3702.0,11.94,10.84,13590.0
2026-03-12,15,180.0,3.96,19.04,9898.0,3690.0,11.87,10.8,13588.0
2026-03-12,16,318.0,3.98,19.79,10010.0,3775.0,12.26,11.2,13785.0
2026-03-12,17,15051.0,3.96,18.18,11515.0,4590.0,15.94,15.22,16105.0
2026-03-12,18,15080.0,3.78,18.15,12880.0,5086.0,19.09,18.46,17966.0
2026-03-12,19,14271.0,3.54,18.66,12774.0,4995.0,18.95,18.3,17769.0
2026-03-12,20,14362.0,3.27,18.77,12857.0,4996.0,18.93,18.27,17853.0
2026-03-12,21,14374.0,3.04,18.88,11866.0,4630.0,16.94,16.21,16496.0
2026-03-12,22,13964.0,2.98,19.48,10277.0,4005.0,13.09,12.27,14282.0
2026-03-12,23,5158.0,3.27,19.19,7290.0,2732.0,8.46,7.33,10022.0
2026-03-13,0,4611.0,3.7,20.62,5863.0,2170.0,6.12,4.97,8033.0
2026-03-13,1,4111.0,4.1,20.96,5838.0,2186.0,6.5,5.33,8024.0
2026-03-13,2,4139.0,4.47,21.38,5830.0,2176.0,6.92,5.76,8006.0
2026-03-13,3,4178.0,4.84,22.01,5921.0,2188.0,7.25,6.08,8109.0
2026-03-13,4,3456.0,5.18,21.28,7374.0,2707.0,9.25,8.09,10081.0
2026-03-13,5,12307.0,5.24,17.87,10634.0,4109.0,15.57,14.73,14742.0
2026-03-13,6,13805.0,4.96,17.9,12589.0,4875.0,18.82,18.1,17464.0
2026-03-13,7,13592.0,4.63,17.41,13028.0,5090.0,18.98,18.28,18118.0
2026-03-13,8,13451.0,4.24,17.22,13150.0,5201.0,19.06,18.38,18351.0
2026-03-13,9,13680.0,3.88,17.49,12603.0,4958.0,18.22,17.51,17561.0
2026-03-13,10,13864.0,3.65,17.97,11127.0,4354.0,14.71,13.94,15481.0
2026-03-13,11,466.0,3.68,18.64,9715.0,3623.0,11.7,10.59,13338.0
2026-03-13,12,178.0,3.71,18.83,9972.0,3721.0,11.61,10.52,13693.0
2026-03-13,13,205.0,3.74,19.17,10100.0,3761.0,11.81,10.73,13861.0
2026-03-13,14,174.0,3.77,19.24,10126.0,3763.0,11.87,10.8,13888.0
2026-03-13,15,174.0,3.8,19.22,10124.0,3748.0,11.86,10.8,13872.0
2026-03-13,16,203.0,3.83,18.94,10288.0,3865.0,12.25,11.2,14152.0
2026-03-13,17,13548.0,3.76,18.19,11744.0,4680.0,15.83,15.16,16425.0
2026-03-13,18,14117.0,3.46,18.24,13083.0,5178.0,19.07,18.46,18261.0
2026-03-13,19,14152.0,3.14,18.25,12884.0,5069.0,18.95,18.32,17953.0
2026-03-13,20,14193.0,2.84,18.42,12860.0,5047.0,18.94,18.3,17907.0
